NYIT College of Osteopathic Medicine · AQY BE-1510 (AQY BE-1510)
Instrument Data export
2/15/2022 to 2/16/2022
(UTC-06:00) Central Time (US & Canada)
Averaging period: 1 minute

Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet
2022/02/15 00:00:00,0.0,21.5,1.1,1.31,90.6,-0.1,Sample
2022/02/15 00:01:00,0.0,22.5,0.9,1.42,91.1,0.1,Sample
2022/02/15 00:02:00,0.0,23.9,1.1,1.55,91.5,0.3,Sample
2022/02/15 00:03:00,0.0,24.0,1.0,1.61,91.6,0.4,Sample
2022/02/15 00:04:00,0.0,22.2,1.1,1.51,91.2,0.2,Sample
2022/02/15 00:05:00,0.0,20.1,1.0,1.33,90.6,-0.0,Sample
2022/02/15 00:06:00,0.0,21.5,1.0,1.36,91.1,0.1,Sample
2022/02/15 00:07:00,0.0,22.9,0.9,1.56,91.8,0.4,Sample
2022/02/15 00:08:00,0.0,21.6,0.9,1.58,91.6,0.3,Sample
2022/02/15 00:09:00,0.0,21.8,0.8,1.53,91.3,0.3,Sample
2022/02/15 00:10:00,0.0,23.8,1.0,1.62,91.6,0.4,Sample
2022/02/15 00:11:00,0.0,25.4,1.0,1.83,92.1,0.7,Sample
2022/02/15 00:12:00,0.0,26.2,0.9,2.03,92.3,0.9,Sample
2022/02/15 00:13:00,0.0,25.1,0.9,2.11,92.1,1.0,Sample
2022/02/15 00:14:00,0.0,22.6,1.0,2.03,91.4,0.8,Sample
2022/02/15 00:15:00,0.0,21.0,0.8,1.79,90.6,0.4,Sample
2022/02/15 00:16:00,0.0,21.3,0.8,1.61,90.4,0.2,Sample
2022/02/15 00:17:00,0.0,22.9,1.0,1.59,91.0,0.3,Sample
2022/02/15 00:18:00,0.0,24.4,0.8,1.66,91.6,0.4,Sample
2022/02/15 00:19:00,0.0,25.0,0.9,1.84,92.2,0.7,Sample
2022/02/15 00:20:00,0.0,24.7,0.8,1.91,92.1,0.8,Sample
2022/02/15 00:21:00,0.0,23.6,0.8,1.95,91.9,0.8,Sample
2022/02/15 00:22:00,0.0,23.6,0.9,1.98,91.8,0.8,Sample
2022/02/15 00:23:00,0.0,23.9,1.0,2.00,91.9,0.8,Sample
2022/02/15 00:24:00,0.0,23.8,0.9,1.99,91.8,0.8,Sample
2022/02/15 00:25:00,0.0,23.9,0.8,2.00,91.9,0.8,Sample
2022/02/15 00:26:00,0.0,24.5,0.9,2.05,92.0,0.9,Sample
2022/02/15 00:27:00,0.0,24.6,0.9,2.10,92.1,0.9,Sample
2022/02/15 00:28:00,0.0,24.2,0.9,2.10,91.9,0.9,Sample
2022/02/15 00:29:00,0.0,24.0,1.0,2.09,91.8,0.9,Sample
2022/02/15 00:30:00,0.0,23.3,0.9,1.98,91.5,0.7,Sample
2022/02/15 00:31:00,0.0,22.2,1.0,1.83,91.3,0.6,Sample
2022/02/15 00:32:00,0.0,21.6,0.8,1.67,91.0,0.4,Sample
